Id,Price,Year,Mileage,City,State,Vin,Make,Model
1,16472,2015,18681,Jefferson City, MO,KL4CJBSBXFB267643,Buick,EncoreConvenience
2,15749,2015,27592,Highland, IN,KL4CJASB5FB245057,Buick,EncoreFWD
3,16998,2015,13650,Boone, NC,KL4CJCSB0FB264921,Buick,EncoreLeather
4,15777,2015,25195,New Orleans, LA,KL4CJASB4FB217542,Buick,EncoreFWD
5,16784,2015,22800,Las Vegas, NV,KL4CJBSB3FB166881,Buick,EncoreConvenience
6,17020,2016,16877,Grand Island, NY,KL4CJASB7GB536760,Buick,EncoreFWD
7,15950,2015,27885,West Covina, CA,KL4CJASB3FB241802,Buick,EncoreFWD
8,17091,2016,24008,Little Rock, AR,KL4CJASBXGB565542,Buick,EncoreFWD
9,16995,2015,8624,Punta Gorda, FL,KL4CJFSB7FB173565,Buick,EncoreConvenience
10,17700,2015,13807,Jacksonville, NC,KL4CJBSB8FB068543,Buick,EncoreConvenience
11,14555,2014,29535,Phoenix, AZ,KL4CJASB3EB786106,Buick,EncoreFWD
12,18988,2017,4705,Bowling Green, KY,KL4CJASB7HB035630,Buick,EncoreFWD
13,17491,2016,11123,Memphis, TN,KL4CJASBXGB720588,Buick,EncoreFWD
14,17432,2015,11330,St. Peters, MO,KL4CJBSB0FB117931,Buick,EncoreConvenience
15,20959,2017,36981,Taylor, MI,1G4PR5SK9H4108021,Buick,VeranoSport
16,16699,2015,21323,Clearwater, FL,KL4CJASB2FB127080,Buick,EncoreFWD
17,15995,2015,18887,Metairie, LA,KL4CJASB8FB267196,Buick,EncoreFWD
18,17950,2016,10925,Lafayette, IN,KL4CJASB4GB519690,Buick,EncoreFWD
19,15239,2015,20681,Dallas, TX,KL4CJBSB2FB179802,Buick,EncoreConvenience
20,16814,2015,11541,Gainesville, FL,KL4CJASB0FB248111,Buick,EncoreFWD
21,15972,2015,28408,Trevose, PA,KL4CJASB4FB176443,Buick,EncoreFWD
22,17222,2015,10652,Oklahoma City, OK,KL4CJBSB9FB270758,Buick,EncoreConvenience
23,18366,2016,3104,Lakewood, NJ,KL4CJASB3GB650982,Buick,EncoreFWD
24,13488,2014,33215,Fallston, MD,KL4CJASB9EB608748,Buick,EncoreFWD
25,16400,2015,21694,Columbus, OH,KL4CJASB1FB241331,Buick,EncoreFWD
26,18902,2017,5,Dublin, CA,KL4CJASB1HB027202,Buick,EncoreFWD
27,18902,2017,5,Dublin, CA,KL4CJASB5HB028496,Buick,EncoreFWD
28,16476,2015,21962,Flemming, GA,KL4CJBSB4FB231253,Buick,EncoreConvenience
29,16450,2014,12760,Columbus, OH,KL4CJASBXEB752616,Buick,EncoreFWD
30,16000,2015,19446,Monroe, MI,KL4CJBSB2FB036929,Buick,EncoreConvenience
